9.7763,9.7808,9.8004,9.8246,9.8287,9.8458,9.8497,9.8535,9.9005,9.9035,9.9066,9.9096,9.9215,9.9242,9.9387,9.9481,9.9502,9.9523,9.9601,9.9698,9.9714,9.9764,9.9777
9.7988,9.8032,9.8218,9.8447,9.8486,9.8648,9.8684,9.872,9.9157,9.9186,9.9214,9.9241,9.9351,9.9375,9.9506,9.9589,9.9608,9.9627,9.9694,9.9777,9.979,9.983,9.984
9.8202,9.8243,9.8421,9.8636,9.8672,9.8825,9.8859,9.8892,9.9297,9.9323,9.9348,9.9373,9.9473,9.9495,9.9612,9.9685,9.9701,9.9717,9.9774,9.9843,9.9853,9.9882,9.989
9.8404,9.8443,9.861,9.8813,9.8847,9.899,9.9021,9.9052,9.9424,9.9448,9.9471,9.9493,9.9582,9.9602,9.9704,9.9767,9.9781,9.9795,9.9841,9.9895,9.9903,9.9922,9.9927
9.8593,9.863,9.8788,9.8977,9.9008,9.9142,9.917,9.9199,9.9538,9.9559,9.9579,9.9599,9.9678,9.9696,9.9784,9.9836,9.9847,9.9858,9.9894,9.9934,9.9939,9.9948,9.995
9.877,9.8804,9.8953,9.9128,9.9157,9.9281,9.9307,9.9333,9.9639,9.9657,9.9675,9.9693,9.9762,9.9776,9.985,9.9892,9.9901,9.9909,9.9934,9.9959,9.9962,9.996,9.996
9.8935,9.8967,9.9105,9.9267,9.9293,9.9407,9.9431,9.9454,9.9727,9.9743,9.9758,9.9773,9.9831,9.9843,9.9903,9.9934,9.994,9.9946,9.9961,9.9972,9.9972,9.9959,9.9956
9.9087,9.9116,9.9245,9.9393,9.9417,9.952,9.9541,9.9562,9.9801,9.9815,9.9828,9.984,9.9888,9.9897,9.9942,9.9963,9.9967,9.997,9.9974,9.9971,9.9968,9.9945,9.994
9.9226,9.9253,9.9372,9.9506,9.9527,9.962,9.9639,9.9658,9.9863,9.9874,9.9884,9.9894,9.9931,9.9938,9.9969,9.9979,9.998,9.9981,9.9974,9.9956,9.9951,9.9917,9.991
9.9352,9.9377,9.9486,9.9605,9.9625,9.9707,9.9724,9.974,9.9911,9.9919,9.9927,9.9934,9.9961,9.9966,9.9981,9.9981,9.998,9.9978,9.9961,9.9928,9.9921,9.9877,9.9866
9.9466,9.9488,9.9587,9.9692,9.9709,9.9781,9.9795,9.9809,9.9946,9.9951,9.9957,9.9961,9.9978,9.998,9.9981,9.997,9.9966,9.9962,9.9934,9.9887,9.9877,9.9822,9.981
9.9566,9.9586,9.9675,9.9766,9.978,9.9842,9.9853,9.9864,9.9967,9.997,9.9973,9.9975,9.9981,9.998,9.9967,9.9946,9.9939,9.9933,9.9894,9.9833,9.982,9.9755,9.974
9.9654,9.9671,9.9749,9.9826,9.9838,9.989,9.9898,9.9907,9.9975,9.9976,9.9976,9.9976,9.9971,9.9968,9.994,9.9908,9.9899,9.989,9.9841,9.9765,9.975,9.9675,9.9657
9.9728,9.9743,9.9811,9.9873,9.9883,9.9924,9.993,9.9936,9.997,9.9968,9.9966,9.9963,9.9947,9.9942,9.9899,9.9857,9.9846,9.9834,9.9775,9.9684,9.9667,9.9581,9.9116
9.9789,9.9802,9.9859,9.9907,9.9914,9.9945,9.9948,9.9952,9.9951,9.9947,9.9942,9.9936,9.9911,9.9902,9.9846,9.9793,9.9779,9.9764,9.9695,9.959,9.957,9.8932,9.7873
9.9837,9.9847,9.9894,9.9928,9.9932,9.9952,9.9953,9.9954,9.9919,9.9912,9.9905,9.9897,9.986,9.985,9.9779,9.9715,9.9699,9.9682,9.9602,9.9039,9.84,9.7341,9.5985
9.9872,9.9879,9.9916,9.9935,9.9937,9.9946,9.9945,9.9943,9.9874,9.9864,9.9854,9.9844,9.9797,9.9784,9.9698,9.9625,9.9606,9.9586,9.9496,9.8437,9.5912,9.4784,9.4125
9.9894,9.9898,9.9925,9.9929,9.9928,9.9927,9.9923,9.9919,9.9815,9.9803,9.9791,9.9778,9.972,9.9704,9.9605,9.9521,9.9499,9.9477,9.8837,9.7778,9.5315,9.3092,9.2033
9.9902,9.9904,9.992,9.991,9.9906,9.9895,9.9888,9.9881,9.9743,9.9729,9.9714,9.9698,9.963,9.9612,9.9498,9.9404,9.938,9.8911,9.827,9.7211,9.4037,9.2451,9.0229
9.9897,9.9896,9.9901,9.9877,9.9871,9.9849,9.984,9.983,9.9658,9.9641,9.9624,9.9605,9.9527,9.9506,9.9378,9.883,9.8188,9.7129,9.577,9.464,9.1892,9.0531,8.8308
9.9878,9.9875,9.987,9.9831,9.9822,9.979,9.9778,9.9766,9.956,9.954,9.952,9.95,9.9411,9.9388,9.9246,9.8604,9.7545,9.5635,9.3891,9.2831,8.9657,8.5961,8.282
